"","reth","scheme","sex","year","cause","e0","cause_contribution","cause_contribution_months"
"1","nhw","Masters","female",2010,"Obesity",81.0958358509852,-2.97812273370904,-35.7374728045085
"2","nhw","Masters","male",2010,"Obesity",76.3627105101001,-3.73170233363199,-44.7804280035838
"3","nhb","Masters","female",2010,"Obesity",77.643389616709,-4.62143007285452,-55.4571608742543
"4","nhb","Masters","male",2010,"Obesity",71.3974880681674,-4.84044539157802,-58.0853446989362
"5","latinx","Masters","female",2010,"Obesity",84.5704956077972,-3.84058331102925,-46.086999732351
"6","latinx","Masters","male",2010,"Obesity",79.6855393094469,-4.39738368522562,-52.7686042227074
"7","nhw","Masters","female",2011,"Obesity",81.0559078234707,-2.91364741700733,-34.9637690040879
"8","nhw","Masters","male",2011,"Obesity",76.3683150807214,-3.71287681036722,-44.5545217244066
"9","nhb","Masters","female",2011,"Obesity",77.7747835111895,-4.48517289672617,-53.822074760714
"10","nhb","Masters","male",2011,"Obesity",71.691612316504,-4.87117691023104,-58.4541229227725
"11","latinx","Masters","female",2011,"Obesity",84.6397629727617,-3.68988044255639,-44.2785653106766
"12","latinx","Masters","male",2011,"Obesity",79.9619297837395,-4.39611501271624,-52.7533801525948
"13","nhw","Masters","female",2012,"Obesity",81.1605632551706,-2.90531090774726,-34.8637308929672
"14","nhw","Masters","male",2012,"Obesity",76.5098074861679,-3.71816949760301,-44.6180339712362
"15","nhb","Masters","female",2012,"Obesity",78.0584103142106,-4.48334094556455,-53.8000913467746
"16","nhb","Masters","male",2012,"Obesity",71.8070340366304,-4.86083833339329,-58.3300600007195
"17","latinx","Masters","female",2012,"Obesity",84.6419038870435,-3.56088620261971,-42.7306344314366
"18","latinx","Masters","male",2012,"Obesity",80.0079522616595,-4.4349328429398,-53.2191941152776
"19","nhw","Masters","female",2013,"Obesity",81.1415073315867,-2.8858905133438,-34.6306861601255
"20","nhw","Masters","male",2013,"Obesity",76.4669538826248,-3.76016261079579,-45.1219513295495
"21","nhb","Masters","female",2013,"Obesity",78.0362380401684,-4.4607447944702,-53.5289375336424
"22","nhb","Masters","male",2013,"Obesity",71.8283628933767,-4.87509283801542,-58.501114056185
"23","latinx","Masters","female",2013,"Obesity",84.6899921501619,-3.53554181652814,-42.4265017983377
"24","latinx","Masters","male",2013,"Obesity",80.0609432187543,-4.28687633601248,-51.4425160321498
"25","nhw","Masters","female",2014,"Obesity",81.2016592198798,-2.91618931789128,-34.9942718146954
"26","nhw","Masters","male",2014,"Obesity",76.4948359810366,-3.80086255817511,-45.6103506981013
"27","nhb","Masters","female",2014,"Obesity",78.1702149165092,-4.43288417738509,-53.1946101286211
"28","nhb","Masters","male",2014,"Obesity",72.0423021711168,-4.93466951599574,-59.2160341919488
"29","latinx","Masters","female",2014,"Obesity",84.8691691836429,-3.51384493173552,-42.1661391808262
"30","latinx","Masters","male",2014,"Obesity",80.1821101927682,-4.19962843480572,-50.3955412176686
"31","nhw","Masters","female",2015,"Obesity",81.0273200851816,-2.91979000087115,-35.0374800104537
"32","nhw","Masters","male",2015,"Obesity",76.3332390614916,-3.8032232705624,-45.6386792467488
